"Date","Price","Open","High","Low","Vol","Change %"
"01/07/2024","43,930.5","43,973.5","44,481.2","43,806.4","27.34K","-0.09%"
"01/06/2024","43,967.9","44,156.6","44,203.2","43,424.0","24.26K","-0.43%"
"01/05/2024","44,156.9","44,163.0","44,312.1","42,629.0","68.07K","0.00%"
"01/04/2024","44,157.0","42,836.1","44,744.5","42,632.8","68.05K","3.08%"
"01/03/2024","42,836.1","44,943.7","45,492.7","40,888.3","117.65K","-4.69%"
"01/02/2024","44,943.7","44,182.9","45,885.4","44,166.0","97.84K","1.72%"
"01/01/2024","44,183.4","42,272.5","44,187.0","42,196.7","36.30K","4.52%"
"12/31/2023","42,272.5","42,141.6","42,878.8","41,971.4","35.58K","0.32%"
"12/30/2023","42,136.7","42,074.7","42,592.2","41,527.3","35.18K","0.15%"
"12/29/2023","42,072.4","42,581.1","43,108.0","41,459.0","60.98K","-1.19%"
"12/28/2023","42,581.1","43,446.5","43,782.6","42,309.3","49.84K","-1.99%"
"12/27/2023","43,446.5","42,514.3","43,676.7","42,115.3","50.10K","2.20%"
"12/26/2023","42,513.3","43,579.9","43,594.9","41,796.6","56.03K","-2.44%"
"12/25/2023","43,578.5","42,982.0","43,792.7","42,745.3","32.67K","1.39%"
"12/24/2023","42,981.5","43,710.4","43,935.7","42,748.5","30.86K","-1.67%"
"12/23/2023","43,710.4","43,968.9","43,994.6","43,325.7","21.29K","-0.59%"
"12/22/2023","43,968.9","43,865.9","44,394.6","43,419.3","44.50K","0.23%"
"12/21/2023","43,865.9","43,660.3","44,241.8","43,310.2","48.96K","0.47%"
"12/20/2023","43,662.8","42,259.5","44,278.7","42,217.2","70.19K","3.32%"
"12/19/2023","42,259.3","42,659.7","43,473.3","41,842.7","55.29K","-0.94%"
"12/18/2023","42,659.7","41,369.1","42,728.0","40,554.0","61.58K","3.12%"
"12/17/2023","41,368.7","42,271.7","42,413.2","41,276.9","35.46K","-2.14%"
"12/16/2023","42,271.7","41,929.0","42,690.3","41,698.2","30.11K","0.82%"
"12/15/2023","41,929.0","43,025.2","43,080.7","41,697.9","45.28K","-2.55%"
"12/14/2023","43,025.9","42,886.3","43,392.7","41,591.2","59.15K","0.33%"
"12/13/2023","42,884.5","41,487.0","43,417.5","40,649.3","63.11K","3.37%"
"12/12/2023","41,487.0","41,256.1","42,070.9","40,691.5","57.04K","0.56%"
"12/11/2023","41,256.1","43,791.0","43,806.3","40,277.1","105.19K","-5.79%"
"12/10/2023","43,791.0","43,716.6","44,045.4","43,576.8","23.81K","0.17%"
"12/09/2023","43,718.4","44,175.5","44,361.2","43,617.4","31.67K","-1.03%"
"12/08/2023","44,175.5","43,288.3","44,697.6","43,108.4","58.44K","2.05%"
"12/07/2023","43,289.7","43,774.4","44,046.4","42,860.5","63.09K","-1.11%"
"12/06/2023","43,776.3","44,076.2","44,283.7","43,466.7","72.52K","-0.68%"